,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,카테고리,기술스택
1108136,[해커스 교육그룹] DBA담당자(신입/경력),챔프스터디,"['Redis', 'MySQL', 'MariaDB', 'SQL', 'NoSql', 'MSSQL', 'AWS', 'DB', 'Oracle', 'Shell']",55,1504,0,20,서울,서초구,70,2024-01-02 00:09:44.591252,DBA,SQL
1108137,데이터 사이언티스트 모집,더블미디어,"['R', 'Python', 'SQL', 'Google Analytics', 'BigData']",12,336,2,10,서울,강남구,70,2024-01-02 00:09:49.135846,DBA,SQL
1108141,[예비유니콘 골프IT플랫폼] DBA / DA,스마트스코어,"['MySQL', 'PHP', 'ERP', 'R', 'SQL', 'Python', 'AWS']",7,534,5,20,서울,강남구,70,2024-01-02 00:10:25.673687,DBA,SQL
1108146,DBA 주니어,라텔앤드파트너즈,"['MSSQL', 'SQL', 'AWS', 'ISMS']",3,73,2,5,서울,중구,70,2024-01-02 00:10:35.850813,DBA,SQL
1108154,[나스닥 상장사] DBA 경력자 모집,한류뱅크,"['MySQL', 'MongoDB', 'SQL', 'DB', 'MSSQL']",2,127,5,15,서울,영등포구,70,2024-01-02 00:11:20.319699,DBA,SQL
1108156,DBA,라텔앤드파트너즈,"['MSSQL', 'SQL', 'AWS', 'ISMS']",1,55,5,20,서울,중구,70,2024-01-02 00:11:36.275422,DBA,SQL
1108157,[전기아이피] DBA(게임),위메이드,"['MSSQL', 'MySQL', 'SQL', 'Microsoft SQL Server']",0,49,2,10,경기,성남시,70,2024-01-02 00:11:44.245337,DBA,SQL
1108160,[유망 스타트업] Data Engineer,지놈인사이트테크놀로지,"['SQL', 'BigData', 'AWS', 'Blockchain']",6,162,5,10,서울,서초구,70,2024-01-02 00:11:58.974428,DBA,SQL
1108161,기술개발부 DB팀,더이앤엠,"['SQL', 'DB', 'Windows', 'Linux']",3,346,3,7,서울,서초구,70,2024-01-02 00:12:10.300577,DBA,SQL
1108162,"DBA(게임, 플랫폼)",위메이드,"['Git', 'AZURE', 'SQL', 'MySQL', 'GCP', 'AWS']",0,46,5,10,경기,성남시,70,2024-01-02 00:12:13.676379,DBA,SQL
1108163,Data Security 경력채용,열림데이타시스템,"['Linux', 'Java', 'JSP', 'Oracle', 'MSSQL', 'SQL']",0,45,3,7,서울,구로구,70,2024-01-02 00:12:17.056000,DBA,SQL
1108164,[StyleKorean] 실리콘투 DBA 개발자 채용,실리콘투,"['MSSQL', 'AWS', 'Amazon RDS', 'SQL']",0,107,7,10,경기,성남시,70,2024-01-02 00:12:18.208245,DBA,SQL
1108165,[그루비 SaaS 솔루션] 데이터사이언티스트,플래티어,"['MachineLearning', 'DeepLearning', 'Python', 'SQL', 'AWS', 'GCP', 'TensorFlow', 'Spark', 'PyTorch']",11,593,1,10,서울,송파구,70,2024-01-02 00:09:48.022316,빅데이터 엔지니어,SQL
1108166,데이터 사이언티스트 모집,더블미디어,"['R', 'Python', 'SQL', 'Google Analytics', 'BigData']",12,336,2,10,서울,강남구,70,2024-01-02 00:09:49.135846,빅데이터 엔지니어,SQL
1108168,[KT NexR] Data Scientist 채용,케이티넥스알,"['Python', 'SQL', 'Hive', 'Spark', 'BigData', 'MachineLearning', 'DeepLearning', 'PyTorch', 'Linux']",38,2479,3,10,서울,송파구,70,2024-01-02 00:09:51.418487,빅데이터 엔지니어,SQL
1108171,데이터 분석가(주니어),스포카,"['SQL', 'PostgreSQL', 'Python', 'Redash', 'Google BigQuery']",16,239,1,3,서울,강남구,70,2024-01-02 00:09:52.534520,빅데이터 엔지니어,SQL
1108172,[병역특례] 데이터분석 담당 산업기능요원 모집,넛지헬스케어,"['SQL', 'R', 'Python', 'Tableau', 'Redash']",8,343,0,1,서울,강남구,70,2024-01-02 00:09:53.692668,빅데이터 엔지니어,SQL
1108175,비지니스 데이터 분석가,비포플레이,"['EDA', 'SQL', 'Python']",4,113,3,10,서울,강남구,70,2024-01-02 00:10:06.254319,빅데이터 엔지니어,SQL
1108176,Data Scientist,롯데헬스케어,"['Python', 'SQL', 'R', 'AI/인공지능', 'MachineLearning']",5,362,2,9,서울,송파구,70,2024-01-02 00:10:09.743344,빅데이터 엔지니어,SQL
1108177,"Data Engineer (Python, SQL)",이랜드이노플,"['Python', 'SQL']",11,624,3,7,서울,금천구,70,2024-01-02 00:10:10.861370,빅데이터 엔지니어,SQL
1108180,Data Scientist 경력 채용,피에트,"['MachineLearning', 'DeepLearning', 'NLP', 'SQL', 'Python']",3,150,4,10,서울,강남구,70,2024-01-02 00:10:12.026351,빅데이터 엔지니어,SQL
1108181,[미리디] 데이터 챕터 리드,미리디,"['Google Tag Manager', 'Google Analytics', 'REST API', 'SQL', 'Python', 'R', 'DeepLearning', 'MachineLearning']",5,887,6,15,서울,구로구,70,2024-01-02 00:10:14.323430,빅데이터 엔지니어,SQL
1108187,[캐시워크] 데이터분석 담당 (석사/박사),넛지헬스케어,"['SQL', 'R', 'Python', 'Tableau', 'Redash', 'Notion', 'Slack']",14,1012,0,10,서울,강남구,70,2024-01-02 00:10:24.510406,빅데이터 엔지니어,SQL
1108190,Data Analyst,42dot,"['SQL', 'Python', 'R', 'AWS', 'GCP', 'DeepLearning', 'Tableau']",13,444,4,10,서울,강남구,70,2024-01-02 00:10:31.328247,빅데이터 엔지니어,SQL
1108191,[핀트] 투자로직 연구개발자,디셈버앤컴퍼니,"['Python', 'MachineLearning', 'AI/인공지능', 'SQL']",10,248,3,9,서울,강남구,70,2024-01-02 00:10:35.850813,빅데이터 엔지니어,SQL
1108193,데이터 분석가,페이히어,"['SQL', 'R', 'Python']",5,180,3,9,서울,강남구,70,2024-01-02 00:10:36.967121,빅데이터 엔지니어,SQL
1108198,"BI, 데이터분석 담당자",시니스트,"['Python', 'R', 'SQL']",22,1045,3,20,서울,강남구,70,2024-01-02 00:10:46.033849,빅데이터 엔지니어,SQL
1108199,[워트 개발팀] 데이터 엔지니어 모집 (국내 최대 데이터),워트인텔리전스,"['Java', 'Spring', 'SQL', 'MongoDB', 'BigData', 'Python', 'Hadoop', 'REST API', 'Lucene', 'AWS']",35,1591,2,10,서울,서초구,70,2024-01-02 00:10:48.256130,빅데이터 엔지니어,SQL
1108202,"DW 아키텍쳐, 컨설턴트,  PL급, Cloud전문가",에스피에이치,"['Dw', 'Dm', 'BigData', 'SQL', 'MachineLearning', 'DeepLearning', 'Python', 'aws', 'gcp', 'google bigquery']",7,547,3,15,서울,마포구,70,2024-01-02 00:10:52.905434,빅데이터 엔지니어,SQL
