,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,카테고리,기술스택
1136105,[토스] Financial System Engineer,비바리퍼블리카,"['MSSQL', 'MySQL', 'SQL', 'SAP', 'ERP', 'Oracle', 'MongoDB', 'PostgreSQL', 'Hadoop', 'Databricks']",8,791,5,10,서울,강남구,70,2024-01-02 00:11:39.676692,빅데이터 엔지니어,Oracle
1136288,"시스템 엔지니어 (PM, SE, SM)",넥서스커뮤니티,"['Linux', 'Oracle', 'MariaDB']",0,135,0,9,서울,영등포구,70,2024-01-02 00:09:50.251522,devops/시스템 엔지니어,Oracle
1136292,[나스닥 상장사] 시스템 엔지니어,한류뱅크,"['Oracle', 'AWS', 'VPN', 'Utm', 'Firewall', 'Linux']",12,616,0,10,서울,영등포구,70,2024-01-02 00:10:02.822456,devops/시스템 엔지니어,Oracle
1136298,"[TRUMPIA, 외국계] System Engineer 경력 모집",트럼피아,"['NGINX', 'Oracle', 'MySQL', 'AWS Shell', 'Python', 'XenServer', 'RabbitMQ', 'PHP', 'Linux', 'ELK']",3,116,3,7,서울,강남구,70,2024-01-02 00:10:06.254319,devops/시스템 엔지니어,Oracle
1136311,[KT NexR] (DE팀) Maintenance Architect(MA) 채용,케이티넥스알,"['Hadoop', 'Linux', 'AWS Shell', 'Oracle', 'MySQL', 'MariaDB', 'Network', 'Ansible', 'Python']",2,90,3,15,서울,송파구,70,2024-01-02 00:10:25.673687,devops/시스템 엔지니어,Oracle
1136317,GS칼텍스 인프라운영(DBA 업무 SM운영) 담당자 모집,지에스아이티엠,"['Oracle', 'Linux', 'Windows', 'MSSQL']",1,45,5,8,서울,강남구,70,2024-01-02 00:10:32.480777,devops/시스템 엔지니어,Oracle
1136318,인사솔루션 개발자 경력 채용,이수시스템,"['Java', 'JSP', 'jQuery', 'Oracle', 'Tibero', 'Spring Framework']",6,197,4,8,서울,서초구,70,2024-01-02 00:10:33.611425,devops/시스템 엔지니어,Oracle
1136367,물류시스템 개발 PL,한국네트웍스,"['Java', 'JSP', 'Spring Framework', 'Oracle', 'MariaDB']",3,629,6,20,경기,성남시,70,2024-01-02 00:11:12.381593,devops/시스템 엔지니어,Oracle
1136371,[급여] 운영 및 유지보수,한국비즈넷,"['Java', 'Spring Framework', 'Miplatform', 'Tibero', 'Oracle', 'MSSQL', 'Visual Basic', 'Visual Studio']",0,30,4,10,서울,구로구,70,2024-01-02 00:11:18.036389,devops/시스템 엔지니어,Oracle
1136379,시스템 엔지니어,가야데이터,"['vmware', 'VMware vSphere', 'Windows Server', 'Linux', 'Oracle', 'WordPress', 'Microsoft SQL Server']",4,527,1,5,서울,,70,2024-01-02 00:11:27.138231,devops/시스템 엔지니어,Oracle
1136398,Cloud 프로젝트 수행 담당,엠로,"['AWS', 'Kubernetes', 'Oracle', 'MariaDB', 'MSA', 'JavaScript', 'CSS 3', 'Java', 'Spring Framework', 'Mybatis']",5,168,7,15,서울,영등포구,70,2024-01-02 00:11:40.813607,devops/시스템 엔지니어,Oracle
1136404,[KT NexR] (Data Ops팀) Technical Architect 채용,케이티넥스알,"['Hadoop', 'Linux', 'AWS Shell', 'Oracle', 'MySQL', 'MariaDB', 'Hive', 'HBase', 'Spark', 'Java', 'Python']",6,774,3,15,서울,송파구,70,2024-01-02 00:11:45.348492,devops/시스템 엔지니어,Oracle
1136405,DevOps  & 아틀라시안 솔루션 엔지니어,플래티어,"['Linux', 'Windows', 'MySQL', 'Oracle', 'Jira', 'MSSQL', 'Bamboo', 'Confluence']",3,293,2,15,서울,송파구,70,2024-01-02 00:11:47.655894,devops/시스템 엔지니어,Oracle
1136518,[코스닥상장사] 소프트웨어 QA(신입/~2년이하경력),엑셈,"['Kubernetes', 'K8S', 'Oracle', 'QA', 'SW', 'FW']",50,2273,0,2,서울,강서구,70,2024-01-02 00:09:41.252410,QA 엔지니어,Oracle
1136600,소프트웨어 프로그램 개발자,아이디정보시스템,"['C#', 'MSSQL', 'Oracle', 'Android Studio']",8,1076,5,20,서울,금천구,70,2024-01-02 00:11:05.408225,개발 PM,Oracle
1136605,물류시스템 개발 PL,한국네트웍스,"['Java', 'JSP', 'Spring Framework', 'Oracle', 'MariaDB']",3,629,6,20,경기,성남시,70,2024-01-02 00:11:12.381593,개발 PM,Oracle
1136615,프로그램 개발 엔지니어[PM/PL],엠로,"['Java', 'JavaScript', 'Spring', 'Oracle', 'MSSQL', 'MySQL']",3,795,7,10,서울,영등포구,70,2024-01-02 00:11:27.138231,개발 PM,Oracle
1136640,[이즈파크] PLM 프로젝트 PM,이즈파크,"['Java', 'MSSQL', 'Oracle']",0,46,8,20,서울,금천구,70,2024-01-02 00:11:56.686459,개발 PM,Oracle
1136844,물류ERP 솔루션 개발자,한국비즈넷,"['Java', 'Spring', 'JSP', 'jQuery', 'Oracle', 'MSSQL', 'ERP', 'SW']",36,1539,0,10,서울,구로구,70,2024-01-02 00:09:42.365476,SW/솔루션,Oracle
1136847,"[우리들HM] 우리들병원 EMR, OCS 개발, 운영관리",우리들에이치엠,"['Visual Basic', 'Oracle', 'MySQL', 'VBA', 'C#', 'Java']",20,1562,0,5,서울,강남구,70,2024-01-02 00:09:44.591252,SW/솔루션,Oracle
1136854,솔루션 개발자,엠서클,"['Spring Boot', 'Spring', 'REST API', 'Oracle', 'Java']",8,300,3,10,서울,강남구,70,2024-01-02 00:09:52.534520,SW/솔루션,Oracle
1136856,"c#, vb.net 개발(SAP Business One 운영/개발)",웅진,"['SAP', 'C#', '.NET', 'ERP', 'MSSQL', 'Java', 'Oracle', 'ASP.NET', 'Vb.net']",8,458,3,18,서울,중구,70,2024-01-02 00:09:54.854179,SW/솔루션,Oracle
1136879,C/S Java Developer(경력) 채용,메인라인,"['Java', 'Oracle', 'SQL']",1,130,5,10,서울,마포구,70,2024-01-02 00:10:15.417443,SW/솔루션,Oracle
1136906,비대면 교육 시스템 개발 및 유지보수(JAVA 웹 개발자),메디오피아테크,"['Java', 'JavaScript', 'JSP', 'Spring', 'MariaDB', 'Oracle', 'jQuery', 'Ajax', 'MySQL']",4,580,3,10,서울,강남구,70,2024-01-02 00:10:29.051722,SW/솔루션,Oracle
1136950,자동화팀 경력직 채용,엘비세미콘,"['C#', 'ASP.NET', 'Oracle', 'Linux', 'MES']",1,175,4,15,경기,안성시,70,2024-01-02 00:10:44.869038,SW/솔루션,Oracle
1136979,델파이 개발(Delphi),만나플래닛,"['Delphi', 'Oracle', 'C#', 'Windows', 'Redmine', 'Jenkins']",1,136,3,15,서울,구로구,70,2024-01-02 00:10:58.569954,SW/솔루션,Oracle
1136991,소프트웨어 프로그램 개발자,아이디정보시스템,"['C#', 'MSSQL', 'Oracle', 'Android Studio']",8,1076,5,20,서울,금천구,70,2024-01-02 00:11:05.408225,SW/솔루션,Oracle
1137015,[Upstage] AI Solution Dev&Operation,업스테이지,"['Java', 'Oracle', 'MariaDB', 'Python', 'Docker', 'PostgreSQL', 'Redis']",9,901,1,15,경기,용인시,70,2024-01-02 00:11:13.491025,SW/솔루션,Oracle
1137025,데이터 백업 솔루션 엔지니어,가야데이터,"['Linux', 'Windows Server', 'OpenStack', 'MySQL', 'Network', 'MSSQL', 'Oracle', 'SQL', 'AWS', 'AZURE']",4,437,0,3,서울,서초구,70,2024-01-02 00:11:15.713648,SW/솔루션,Oracle
1137089,(주)파츠몰 소프트웨어 개발 관리자,파츠몰,"['Java', 'JavaScript', 'ScriptRock', 'JSON', 'SQL', 'Oracle']",0,87,5,20,경기,고양시,70,2024-01-02 00:11:32.868497,SW/솔루션,Oracle
1137170,학습관리솔루션(LMS) 개발 및 유지보수,메디오피아테크,"['Java', 'JavaScript', 'JSP', 'Spring', 'Oracle', 'jQuery', 'Ajax']",5,524,5,15,서울,강남구,70,2024-01-02 00:11:55.571503,SW/솔루션,Oracle
1137220,"Visual C++, Window 개발자 모집",코닉글로리,"['Visual C++', 'Java', 'Oracle', 'Windows']",0,51,7,12,서울,강남구,70,2024-01-02 00:12:05.804623,SW/솔루션,Oracle
1137247,[부산/경남] 스마트 제조 기반 S/W 개발자,임픽스,"['C#', 'Python', 'Java', 'Appium', 'MSSQL', 'PostgreSQL', 'MariaDB', 'Oracle']",2,170,5,10,경남,양산시,70,2024-01-02 00:12:12.513223,SW/솔루션,Oracle
1137275,PLM 시스템 운영/유지보수,이즈파크,"['Java', 'Oracle', 'MSSQL', 'Spring Framework']",0,8,5,15,경남,사천시,70,2024-01-02 00:12:18.208245,SW/솔루션,Oracle
1137303,[서울] SW 설계 및 개발,인터엑스,"['Python', 'REST API', 'SW', 'MariaDB', 'PostgreSQL', 'MSSQL', 'Oracle', 'Docker']",0,32,3,10,서울,금천구,70,2024-01-02 00:12:23.905169,SW/솔루션,Oracle
1137430,[파수] 보안 솔루션 구축 엔지니어,파수,"['Windows', 'Linux', 'C++', 'Java', 'Oracle', 'SQL', 'MariaDB']",1,420,3,7,서울,마포구,70,2024-01-02 00:11:05.408225,기술지원,Oracle
1137434,DB 엔지니어 또는 DBA (2년 이상),비트나인,"['PostgreSQL', 'Oracle', 'Tibero', 'MySQL', 'DB']",4,373,2,10,서울,강남구,70,2024-01-02 00:11:11.219426,기술지원,Oracle
1137441,"아틀라시안(Jira, Confluence) 대기업 기술지원 솔루션 엔지니어",플래티어,"['Linux', 'Windows', 'MySQL', 'Oracle', 'Jira', 'Bamboo', 'Confluence', 'Perforce']",0,16,2,15,서울,송파구,70,2024-01-02 00:11:26.019346,기술지원,Oracle
1137447,Perforce 솔루션 엔지니어,플래티어,"['Linux', 'Windows', 'MySQL', 'Oracle', 'Jira', 'MSSQL', 'Bamboo', 'Confluence']",1,12,2,15,서울,송파구,70,2024-01-02 00:11:30.577183,기술지원,Oracle
1137457,기술지원 채용공고,플랜트에셋,['Oracle'],6,353,0,10,서울,금천구,70,2024-01-02 00:11:41.976717,기술지원,Oracle
1137460,DevOps  & 아틀라시안 솔루션 엔지니어,플래티어,"['Linux', 'Windows', 'MySQL', 'Oracle', 'Jira', 'MSSQL', 'Bamboo', 'Confluence']",3,293,2,15,서울,송파구,70,2024-01-02 00:11:47.655894,기술지원,Oracle
1137491,PLM 시스템 운영/유지보수,이즈파크,"['Java', 'Oracle', 'MSSQL', 'Spring Framework']",0,8,5,15,경남,사천시,70,2024-01-02 00:12:18.208245,기술지원,Oracle
1137507,서버/백엔드 신입 및 경력,라온로드,"['REST API', 'Go', 'Python', 'Java', 'Node.js', 'C++', 'Oracle', 'MSSQL', 'MySQL', 'PostgreSQL']",220,8540,0,10,경기,성남시,70,2024-01-02 00:09:39.036281,서버/백엔드 개발자,PostgreSQL
1137509,"[패스오더] 백엔드 개발자 (Spring, Python, MSA) (병역특례/산업기능요원/보충역/전직)",페이타랩,"['Python', 'Java', 'Jenkins', 'AWS', 'Redis', 'PostgreSQL', 'MSA', 'Docker', 'NGINX', 'RDB']",478,18546,0,20,서울,강남구,70,2024-01-02 00:09:39.036281,서버/백엔드 개발자,PostgreSQL
1137523,Software Engineer - Backend,업스테이지,"['Golang', 'Python', 'TypeScript', 'C', 'C++', 'AWS', 'MariaDB', 'PostgreSQL', 'NoSql']",25,857,3,15,경기,용인시,70,2024-01-02 00:09:41.252410,서버/백엔드 개발자,PostgreSQL
1137539,[기후테크 기업] 대시보드 백엔드 개발자 (신입/경력),EAN테크놀로지,"['TypeScript', 'GraphQL', 'Docker', 'AWS', 'MySQL', 'Java', 'Rust', 'Apollo', 'Node.js', 'PostgreSQL']",30,1071,0,10,서울,강남구,70,2024-01-02 00:09:44.591252,서버/백엔드 개발자,PostgreSQL
1137577,[DX팀] 백엔드 개발자 (주니어/시니어),이지스엔터프라이즈,"['Java', 'PostgreSQL', 'Oracle', 'MSSQL', 'Mybatis', 'Spring Data JPA', 'Redis', 'Docker', 'REST API', 'Spring Boot']",5,152,2,10,서울,금천구,70,2024-01-02 00:09:51.418487,서버/백엔드 개발자,PostgreSQL
1137585,[플랫폼개발] 풀스택 / 백엔드 / 프론트엔드,그라운드컨트롤,"['React', 'JavaScript', 'TypeScript', 'Java', 'PostgreSQL', 'Next.js', 'TailwindCSS', 'Solidity']",13,909,3,8,서울,강남구,70,2024-01-02 00:09:53.692668,서버/백엔드 개발자,PostgreSQL
1137594,[에너지 IT기업 해줌] 백엔드 개발자 채용,해줌,"['MySQL', 'Python', 'Oracle', 'Django', 'REST API', 'MariaDB', 'Docker', 'AWS', 'PostgreSQL']",120,6820,5,20,서울,송파구,70,2024-01-02 00:09:56.046506,서버/백엔드 개발자,PostgreSQL
1137599,[미리캔버스] 시니어 백엔드 개발자,미리디,"['Java', 'Spring', 'AWS', 'PostgreSQL', 'Node.js', 'Git Flow', 'Redis', 'Spring Framework', 'REST API', 'JavaScript']",104,3449,6,15,서울,구로구,70,2024-01-02 00:09:57.205315,서버/백엔드 개발자,PostgreSQL
1137605,백엔드 서버 개발자 (Backend),비밀리,"['Java', 'Spring', 'Spring Boot', 'Spring Data JPA', 'MSA', 'MySQL', 'PostgreSQL', 'Docker', 'gRPC', 'Kafka', 'Redis']",22,821,4,15,경기,성남시,70,2024-01-02 00:09:57.205315,서버/백엔드 개발자,PostgreSQL
1137607,백엔드 엔지니어,피매치,"['Docker', 'GraphQL', 'PostgreSQL', 'AWS', 'AZURE', 'GCP']",13,420,2,5,서울,마포구,70,2024-01-02 00:09:58.314874,서버/백엔드 개발자,PostgreSQL
1137623,Java SpringBoot 백엔드 개발자 (5년 이상 경력),아이쿠카,"['Java', 'Spring Boot', 'AWS', 'REST API', 'Python', 'PostgreSQL', 'Apache HTTP Server']",14,625,5,15,서울,마포구,70,2024-01-02 00:10:01.718071,서버/백엔드 개발자,PostgreSQL
1137644,신규 웹서비스 [서버/백엔드] 개발자 팀원 모집 (Node/Nest/MySQL/PostgreSQL),에이블제이,"['JavaScript', 'Node.js', 'NestJS', 'ExpressJS', 'MySQL', 'MariaDB', 'PostgreSQL', 'AWS']",13,579,3,10,경기,성남시,70,2024-01-02 00:10:08.582383,서버/백엔드 개발자,PostgreSQL
1137648,[IT] 백엔드 SW개발 (전자차트),덴티움,"['Node.js', 'GraphQL', 'AWS', 'RDB', 'MySQL', 'PostgreSQL', 'NestJS']",35,1302,1,10,경기,수원시,70,2024-01-02 00:10:08.582383,서버/백엔드 개발자,PostgreSQL
1137661,Backend 개발 및 유지보수,엠디에스인텔리전스,"['NoSql', 'Spring', 'Spring Boot', 'Linux', 'Java', 'PostgreSQL', 'Git', 'Docker', 'AWS']",6,102,4,10,경기,성남시,70,2024-01-02 00:10:10.861370,서버/백엔드 개발자,PostgreSQL
1137694,[IT] 백엔드 SW개발 (클라우드 플랫폼),덴티움,"['Node.js', 'NestJS', 'PostgreSQL', 'GraphQL', 'RDB', 'GitHub', 'Jira', 'Slack', 'Figma', 'Docker', 'NGINX']",19,648,3,7,경기,수원시,70,2024-01-02 00:10:19.959494,서버/백엔드 개발자,PostgreSQL
1137696,기술연구소 백엔드 개발자 모집,이에스이,"['PostgreSQL', 'JSP', 'Thymeleaf', 'Jira', 'Confluence', 'Docker', 'GitLab', 'Spring']",4,320,2,10,경기,성남시,70,2024-01-02 00:10:19.959494,서버/백엔드 개발자,PostgreSQL
1137698,Backend Engineer,에어스메디컬,"['C#', '.NET', 'NestJS', 'Golang', 'REST API', 'GraphQL', 'PostgreSQL', 'RabbitMQ', 'Redis', 'AWS', 'K8S']",10,250,1,5,서울,강남구,70,2024-01-02 00:10:21.064382,서버/백엔드 개발자,PostgreSQL
1137700,[파운트/핀테크] RA(로보어드바이저) 백엔드 개발자(Python),파운트,"['Django', 'Django REST framework', 'FastAPI', 'MySQL', 'PostgreSQL', 'Redis', 'Pandas', 'NumPy', 'Celery', 'AWS', 'Amazon EKS']",3,163,4,8,서울,중구,70,2024-01-02 00:10:21.064382,서버/백엔드 개발자,PostgreSQL
1137718,"[쿡앱스] 서버 프로그래머(병역특례-전문연구요원, 석사 학력 이상)",쿡앱스,"['TypeScript', 'Python', 'Git', 'gRPC', 'Rest.li', 'Docker', 'MySQL', 'PostgreSQL', 'Redis']",30,1853,0,1,경기,성남시,70,2024-01-02 00:10:26.802624,서버/백엔드 개발자,PostgreSQL
1137722,백엔드 개발자,블랙탠저린,"['Node.js', 'AWS', 'PostgreSQL', 'MongoDB', 'RDB', 'TypeScript', 'Redis', 'GitHub']",40,1769,3,20,서울,강남구,70,2024-01-02 00:10:27.922455,서버/백엔드 개발자,PostgreSQL
1137741,피트니스 테크 기업 서버/백엔드 개발자,라파누이,"['JavaScript', 'AWS', 'Node.js', 'NestJS', 'MySQL', 'PostgreSQL']",15,436,3,20,서울,마포구,70,2024-01-02 00:10:33.611425,서버/백엔드 개발자,PostgreSQL
1137744,백엔드 개발자 모집,이에스이,"['Spring', 'Java', 'PostgreSQL', 'MySQL', 'NoSql', 'Kafka', 'RabbitMQ', 'Redis']",19,1486,3,10,경기,성남시,70,2024-01-02 00:10:33.611425,서버/백엔드 개발자,PostgreSQL
1137755,백엔드 개발자 모집(경력 10년이상),와포,"['Java', 'Linux', 'MongoDB', 'MySQL', 'PostgreSQL', 'Node.js', 'Python', 'Spring Framework', 'Git']",10,652,10,20,서울,서초구,70,2024-01-02 00:10:35.850813,서버/백엔드 개발자,PostgreSQL
1137756,Backend Engineer,데이터메이커,"['Python', 'Django', 'Django REST framework', 'PostgreSQL', 'Redis', 'Ubuntu']",65,4897,3,15,대전,유성구,70,2024-01-02 00:10:35.850813,서버/백엔드 개발자,PostgreSQL
1137758,파이썬 개발자 (3년차 이상),자이온아이티에스,"['Python', 'Django', 'Django REST framework', 'FastAPI', 'PostgreSQL', 'Docker', 'MSA', 'Kafka']",7,243,3,8,서울,서초구,70,2024-01-02 00:10:35.850813,서버/백엔드 개발자,PostgreSQL
1137760,"[반려동물, 펫비즈니스] PHP 개발자",코스모스이펙트,"['PHP', 'Laravel', 'Docker', 'NGINX', 'MySQL', 'PostgreSQL', 'AWS', 'Git', 'Apache HTTP Server']",2,157,1,3,서울,구로구,70,2024-01-02 00:10:35.850813,서버/백엔드 개발자,PostgreSQL
1137770,백엔드 엔지니어 (AI 로봇 관제 솔루션),다임리서치,"['.NET', 'Jira', 'Confluence', 'AI/인공지능', 'Java', 'C#', 'C++', 'MongoDB', 'PostgreSQL']",6,539,5,10,서울,서초구,70,2024-01-02 00:10:39.242010,서버/백엔드 개발자,PostgreSQL
1137786,Cloud Backend Engineer,한화비전,"['TypeScript', 'NestJS', 'MongoDB', 'PostgreSQL', 'MQTT']",6,265,4,12,경기,성남시,70,2024-01-02 00:10:42.605529,서버/백엔드 개발자,PostgreSQL
1137807,Go 웹 방화벽 개발자,필락시스,"['Go', 'PostgreSQL', 'Redis', 'MongoDB', 'NoSql', 'Golang']",3,551,0,5,서울,중구,70,2024-01-02 00:10:49.375296,서버/백엔드 개발자,PostgreSQL
1137826,Backend Engineer · Lunit SCOPE,루닛,"['AWS', 'Python', 'Kotlin', 'Spring Boot', 'FastAPI', 'Terraform', 'Docker', 'Ansible', 'Spring MVC', 'PostgreSQL']",31,1180,3,10,서울,강남구,70,2024-01-02 00:10:52.905434,서버/백엔드 개발자,PostgreSQL
1137831,백엔드 시니어 개발자 채용 (4년 이상),닥터다이어리,"['Node.js', 'AWS', 'MongoDB', 'PostgreSQL', 'ExpressJS', 'NestJS', 'TypeScript']",11,218,4,20,서울,강남구,70,2024-01-02 00:10:55.185900,서버/백엔드 개발자,PostgreSQL
1137832,Python 백엔드 개발자,코딩허브,"['Python', 'Django', 'FastAPI', 'AWS', 'Git', 'PostgreSQL', 'MariaDB', 'Linux', 'Docker', 'GCP']",3,146,3,5,서울,금천구,70,2024-01-02 00:10:55.185900,서버/백엔드 개발자,PostgreSQL
1137844,Backend Engineer (Place/Address Data Platform),42dot,"['Java', 'Spring Boot', 'Python', 'MongoDB', 'PostgreSQL', 'Elasticsearch', 'Redis', 'Kafka', 'Kubernetes']",1,134,7,15,서울,강남구,70,2024-01-02 00:10:59.733522,서버/백엔드 개발자,PostgreSQL
1137857,[울산] 백엔드(Backend) 개발자,인터엑스,"['Python', 'REST API', 'MongoDB', 'PostgreSQL']",2,230,2,10,울산,중구,70,2024-01-02 00:11:04.247686,서버/백엔드 개발자,PostgreSQL
1137872,개발 팀장,한국해양기상기술,"['Java', 'Spring', 'PostgreSQL', 'Spring Boot', 'Mybatis', 'Thymeleaf', 'Docker', 'GitHub']",2,112,10,30,서울,구로구,70,2024-01-02 00:11:08.948495,서버/백엔드 개발자,PostgreSQL
1137883,[Upstage] AI Solution Dev&Operation,업스테이지,"['Java', 'Oracle', 'MariaDB', 'Python', 'Docker', 'PostgreSQL', 'Redis']",9,901,1,15,경기,용인시,70,2024-01-02 00:11:13.491025,서버/백엔드 개발자,PostgreSQL
1137920,플랫폼 서비스 Back-end 개발자 (시니어),런치팩,"['Vue.js', 'AWS', 'Django', 'PostgreSQL', 'Celery', 'Redis']",3,200,3,5,서울,강남구,70,2024-01-02 00:11:27.138231,서버/백엔드 개발자,PostgreSQL
1137953,[토스] Financial System Engineer,비바리퍼블리카,"['MSSQL', 'MySQL', 'SQL', 'SAP', 'ERP', 'Oracle', 'MongoDB', 'PostgreSQL', 'Hadoop', 'Databricks']",8,791,5,10,서울,강남구,70,2024-01-02 00:11:39.676692,서버/백엔드 개발자,PostgreSQL
1137960,Java 개발자 (10년 이상),한국해양기상기술,"['Java', 'Spring', 'Spring Boot', 'PostgreSQL', 'Mybatis', 'Gradle', 'Docker', 'GitHub']",1,158,5,30,서울,구로구,70,2024-01-02 00:11:41.976717,서버/백엔드 개발자,PostgreSQL
1137981,Backend 개발자 채용 (3년 이상),디앤에스에버,"['Node.js', 'TypeScript', 'MySQL', 'PostgreSQL', 'Linux', 'AWS', 'Docker', 'python', 'SQL', 'Java']",1,21,3,15,서울,강남구,70,2024-01-02 00:11:51.028020,서버/백엔드 개발자,PostgreSQL
1138027,[부산/경남] 스마트 제조 기반 S/W 개발자,임픽스,"['C#', 'Python', 'Java', 'Appium', 'MSSQL', 'PostgreSQL', 'MariaDB', 'Oracle']",2,170,5,10,경남,양산시,70,2024-01-02 00:12:12.513223,서버/백엔드 개발자,PostgreSQL
1138033,IOT 및 Backend 개발자,고스트패스,"['Node.js', 'ASP.NET', 'PostgreSQL', 'MSSQL', 'MySQL']",1,226,2,10,광주,서구,70,2024-01-02 00:12:13.676379,서버/백엔드 개발자,PostgreSQL
1138040,시니어 백엔드 개발자 (경력),테이텀,"['node.js', 'Python', 'Ruby', 'Go', 'RabbitMQ', 'Redis', 'Apache Pulsar', 'Kafka', 'MySQL', 'PostgreSQL', 'NoSql']",1,56,7,10,서울,강남구,70,2024-01-02 00:12:19.306340,서버/백엔드 개발자,PostgreSQL
1138041,ASP.NET Core 백엔드 개발자,클라우드호스피탈,"['MSSQL', 'PostgreSQL', 'Jira', 'GitHub', 'Docker', 'Kubernetes', 'Terraform', '.NET Core', 'AZURE', 'Git']",3,69,0,10,서울,서초구,70,2024-01-02 00:12:20.472699,서버/백엔드 개발자,PostgreSQL
1138046,[서울] SW 설계 및 개발,인터엑스,"['Python', 'REST API', 'SW', 'MariaDB', 'PostgreSQL', 'MSSQL', 'Oracle', 'Docker']",0,32,3,10,서울,금천구,70,2024-01-02 00:12:23.905169,서버/백엔드 개발자,PostgreSQL
1138068,프론트엔드 개발자,마이카페이지,"['JavaScript', 'React', 'React Native', 'Next.js', 'PostgreSQL', 'AWS', 'AWS Lambda', 'Amazon EC2']",87,4634,1,2,서울,서초구,70,2024-01-02 00:09:41.252410,프론트엔드 개발자,PostgreSQL
1138110,[플랫폼개발] 풀스택 / 백엔드 / 프론트엔드,그라운드컨트롤,"['React', 'JavaScript', 'TypeScript', 'Java', 'PostgreSQL', 'Next.js', 'TailwindCSS', 'Solidity']",13,909,3,8,서울,강남구,70,2024-01-02 00:09:53.692668,프론트엔드 개발자,PostgreSQL
1138167,"시각화, gis 솔루션 개발자 모집",피타그래프,"['PostgreSQL', 'Java', 'Spring', 'React', 'JavaScript']",5,270,1,10,서울,강서구,70,2024-01-02 00:10:17.690311,프론트엔드 개발자,PostgreSQL
1138216,아크리얼 프론트엔드 개발자 (FrontEnd Engineer),아크리얼,"['Node.js', 'TypeScript', 'GraphQL', 'REST API', 'MySQL', 'PostgreSQL', 'NoSql', 'AWS', 'GCP', 'HTML5', 'Next.js']",14,952,5,20,서울,강남구,70,2024-01-02 00:10:40.375929,프론트엔드 개발자,PostgreSQL
1138288,웹 개발 시니어,케이더블유이코리아,"['TypeScript', 'React', 'React Native', 'Next.js', 'NestJS', 'Node.js', 'PostgreSQL', 'Vue.js', 'JavaScript', 'GitLab']",5,151,4,7,서울,강서구,70,2024-01-02 00:11:16.874262,프론트엔드 개발자,PostgreSQL
1138333,웹서비스 개발,루미르,"['JavaScript', 'React.js Boilerplate', 'Node.js', 'MariaDB', 'Oracle', 'PostgreSQL', 'React']",2,348,3,20,경기,용인시,70,2024-01-02 00:11:54.403733,프론트엔드 개발자,PostgreSQL
1138384,[플랫폼개발] 풀스택 / 백엔드 / 프론트엔드,그라운드컨트롤,"['React', 'JavaScript', 'TypeScript', 'Java', 'PostgreSQL', 'Next.js', 'TailwindCSS', 'Solidity']",13,909,3,8,서울,강남구,70,2024-01-02 00:09:53.692668,웹 풀스택 개발자,PostgreSQL
1138413,[IT] 풀스택 개발자 (전자차트/클라우드플랫폼),덴티움,"['Node.js', 'NestJS', 'Next.js', 'GraphQL', 'PostgreSQL', 'MSA', 'c#', 'JavaScript', 'React']",18,1535,1,10,경기,수원시,70,2024-01-02 00:10:06.254319,웹 풀스택 개발자,PostgreSQL
1138418,메인넷 프로젝트 - 블록체인 개발자 경력 모집,펜타클유니온,"['JSON-RPC', 'PostgreSQL', 'MySQL', 'Java', 'Spring', 'Vue.js', 'Flutter', 'React', 'JavaScript', 'Rust']",1,107,5,10,서울,강남구,70,2024-01-02 00:10:09.743344,웹 풀스택 개발자,PostgreSQL
1138424,S/W 경력 개발자 채용(프론트엔드/백엔드),에이펙스이에스씨,"['Java', 'JavaScript', 'Go', 'Node.js', 'Python', 'Elasticsearch', 'MariaDB', 'PostgreSQL', 'REST API', 'gRPC', 'Firebase']",9,202,2,7,서울,강남구,70,2024-01-02 00:10:15.417443,웹 풀스택 개발자,PostgreSQL
1138429,제약 IT솔루션 개발자 경력직 채용,아이디에스앤트러스트,"['Java', 'Spring', 'Spring Boot', 'PostgreSQL', 'Linux', 'HTML5', 'CSS 3', 'JavaScript', 'jQuery', 'Thymeleaf']",4,163,3,10,서울,강남구,70,2024-01-02 00:10:19.959494,웹 풀스택 개발자,PostgreSQL
1138443,운영 개발자 채용공고,일성유한책임회사,"['React', 'PostgreSQL', 'Git', 'JavaScript', 'REST API', 'Java', 'Next.js', 'Docker']",9,768,5,15,대구,동구,70,2024-01-02 00:10:30.220033,웹 풀스택 개발자,PostgreSQL
1138447,"[반려동물, 펫비즈니스] PHP 개발자",코스모스이펙트,"['PHP', 'Laravel', 'Docker', 'NGINX', 'MySQL', 'PostgreSQL', 'AWS', 'Git', 'Apache HTTP Server']",2,157,1,3,서울,구로구,70,2024-01-02 00:10:35.850813,웹 풀스택 개발자,PostgreSQL
1138457,Desktop 선행연구 담당자,이우소프트,"['C++', 'PostgreSQL', 'JavaScript', 'Node.js', 'ExpressJS', 'Qt', 'C#', 'Java']",6,351,5,10,경기,화성시,70,2024-01-02 00:10:43.765736,웹 풀스택 개발자,PostgreSQL
