,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
1031322,[병역특례_보충역/전직] 인프라 엔지니어,피어테크,"['Ansible', 'Kubernetes', 'GitHub', 'Jenkins', 'AWS Elastic Beanstalk', 'Linux', 'Python', 'Go', 'AWS', 'Blockchain']",1,316,3,8,서울,강남구,70,2024-03-03 12:45:49.300571,https://www.jumpit.co.kr/position/16969,블록체인,Jenkins
1031419,"[패스오더] 백엔드 개발자(Spring, Python, MSA)",페이타랩,"['Python', 'Java', 'Kotlin', 'Flask', 'Spring', 'Git', 'Jenkins', 'Docker', 'AWS', 'Kubernetes']",581,19327,0,20,서울,강남구,70,2024-03-03 12:43:16.344132,https://www.jumpit.co.kr/position/3338,서버/백엔드 개발자,Docker
1031424,"[패스오더] 백엔드 개발자 (Spring, Python, MSA) (병역특례/산업기능요원/보충역/전직)",페이타랩,"['Python', 'Java', 'Jenkins', 'AWS', 'Redis', 'PostgreSQL', 'MSA', 'Docker', 'NGINX', 'RDB']",524,20237,0,20,서울,강남구,70,2024-03-03 12:43:16.344132,https://www.jumpit.co.kr/position/6943,서버/백엔드 개발자,Docker
1031432,[H2O KOREA] 예약사업부 개발팀 백엔드 개발자 모집,에이치투오호스피탈리티,"['Java', 'Spring', 'PHP', 'Python', 'MySQL', 'JavaScript', 'Docker', 'AWS', 'Linux']",14,596,1,3,서울,강남구,70,2024-03-03 12:43:18.654255,https://www.jumpit.co.kr/position/22392,서버/백엔드 개발자,Docker
1031433,[기후테크 기업] 대시보드 백엔드 개발자 (신입/경력),EAN테크놀로지,"['TypeScript', 'GraphQL', 'Docker', 'AWS', 'MySQL', 'Java', 'Rust', 'Apollo', 'Node.js', 'PostgreSQL']",63,1541,0,10,서울,강남구,70,2024-03-03 12:43:18.654255,https://www.jumpit.co.kr/position/22376,서버/백엔드 개발자,Docker
1031441,"백엔드 개발자(Java, Spring)",미스터블루,"['Java', 'Spring', 'Spring Boot', 'REST API', 'Docker', 'Spring Data JPA', 'MSSQL', 'MongoDB', 'ELK']",28,574,3,8,서울,강서구,70,2024-03-03 12:43:19.840054,https://www.jumpit.co.kr/position/22820,서버/백엔드 개발자,Docker
1031448,Node 서버 개발자(병역특례_보충역 지원가능),아이티엘,"['JavaScript', 'GitHub', 'Docker', 'AWS', 'MySQL', 'Node.js', 'Amazon EC2', 'Amazon RDS', 'Amazon S3']",13,376,0,10,서울,서초구,70,2024-03-03 12:43:21.017996,https://www.jumpit.co.kr/position/22548,서버/백엔드 개발자,Docker
1031459,[경력] 백엔드 개발자 (서울),엔엑스테크놀로지,"['Node.js', 'MongoDB', 'AWS', 'Docker', 'REST API', 'Java', 'NoSql', 'Linux']",54,1903,2,10,서울,영등포구,70,2024-03-03 12:43:22.235313,https://www.jumpit.co.kr/position/7897,서버/백엔드 개발자,Docker
1031462,Back-End Developer(Senior),트래블월렛,"['Java', 'Git', 'Docker', 'Kotlin', 'JavaScript', 'AWS', 'Spring']",156,4500,5,15,서울,강남구,70,2024-03-03 12:43:24.532354,https://www.jumpit.co.kr/position/12641,서버/백엔드 개발자,Docker
1031469,"솔루션 개발 (자바, 스프링, 백엔드, 풀스택 - JAVA, Spring, Backend, Full Stack)",드림시스,"['Java', 'Spring', 'Spring Boot', 'MSA', 'Kubernetes', 'Docker', 'Git', 'Jira', 'Confluence']",92,2727,2,10,서울,서초구,70,2024-03-03 12:43:25.720973,https://www.jumpit.co.kr/position/16227,서버/백엔드 개발자,Docker
1031470,Backend 개발 및 유지보수,엠디에스인텔리전스,"['NoSql', 'Spring', 'Spring Boot', 'Linux', 'Java', 'PostgreSQL', 'Git', 'Docker', 'AWS']",14,420,4,10,경기,성남시,70,2024-03-03 12:43:25.720973,https://www.jumpit.co.kr/position/21538,서버/백엔드 개발자,Docker
1031475,"[TRUMPIA, 외국계] Java Backend 서비스 개발자 모집",트럼피아,"['Java', 'Spring Framework', 'Spring Data JPA', 'REST API', 'Docker', 'MariaDB', 'Elasticsearch']",86,2770,3,12,서울,강남구,70,2024-03-03 12:43:25.720973,https://www.jumpit.co.kr/position/512,서버/백엔드 개발자,Docker
1031481,백엔드 서버 개발자 (Backend),비밀리,"['Java', 'Spring', 'Spring Boot', 'Spring Data JPA', 'MSA', 'MySQL', 'PostgreSQL', 'Docker', 'gRPC', 'Kafka', 'Redis']",36,1210,4,15,경기,성남시,70,2024-03-03 12:43:26.870767,https://www.jumpit.co.kr/position/17907,서버/백엔드 개발자,Docker
1031492,백엔드 개발자 (Node.js),뮤즈블라썸,"['Node.js', 'JavaScript', 'AWS', 'Docker', 'REST API', 'MySQL', 'TypeScript', 'NoSql', 'ExpressJS', 'Python']",41,1509,2,9,서울,도봉구,70,2024-03-03 12:43:29.176304,https://www.jumpit.co.kr/position/18418,서버/백엔드 개발자,Docker
1031515,기술연구소 백엔드 개발자 모집,이에스이,"['PostgreSQL', 'JSP', 'Thymeleaf', 'Jira', 'Confluence', 'Docker', 'GitLab', 'Spring']",6,411,2,10,경기,성남시,70,2024-03-03 12:43:32.633177,https://www.jumpit.co.kr/position/15812,서버/백엔드 개발자,Docker
1031516,[에너지 IT기업 해줌] 백엔드 개발자 채용,해줌,"['MySQL', 'Python', 'Oracle', 'Django', 'REST API', 'MariaDB', 'Docker', 'AWS', 'PostgreSQL']",126,7404,5,20,서울,송파구,70,2024-03-03 12:43:33.807134,https://www.jumpit.co.kr/position/1772,서버/백엔드 개발자,Docker
1031519,[위시켓] 백엔드 개발,위시켓,"['Python', 'Django REST framework', 'MariaDB', 'AWS', 'Docker', 'Redis', 'Celery', 'NGINX', 'Gunicorn', 'ELK']",35,711,0,3,서울,강남구,70,2024-03-03 12:43:33.807134,https://www.jumpit.co.kr/position/22592,서버/백엔드 개발자,Docker
1031524,백엔드 개발자 채용,액션파워,"['Node.js', 'Docker', 'Kubernetes', 'REST API']",32,1292,4,15,서울,관악구,70,2024-03-03 12:43:33.807134,https://www.jumpit.co.kr/position/10824,서버/백엔드 개발자,Docker
1031541,서버/백엔드 개발자 채용,스케치북,"['Java', 'SQL', 'AWS', 'Docker', 'Kubernetes']",6,265,5,10,서울,서초구,70,2024-03-03 12:43:37.255780,https://www.jumpit.co.kr/position/22245,서버/백엔드 개발자,Docker
1031542,백엔드 개발자,사각,"['JavaScript', 'Node.js', 'NestJS', 'Python', 'Docker', 'Git', 'TypeScript', 'React', 'Next.js', 'TailwindCSS']",11,562,2,10,서울,마포구,70,2024-03-03 12:43:38.439863,https://www.jumpit.co.kr/position/22685,서버/백엔드 개발자,Docker
1031545,백엔드 / 풀스택 개발자,프리시젼바이오,"['JavaScript', 'Spring', 'Docker', 'PHP', 'Next.js', 'Flutter', 'GitHub', 'Jira']",6,350,5,15,서울,서초구,70,2024-03-03 12:43:38.439863,https://www.jumpit.co.kr/position/19407,서버/백엔드 개발자,Docker
